id,max,src,real
Unit #TD000727C,1090,570,565.018200
Unit #PN001190C,1093,512,507.852800
Unit #XF001543C,1094,754,745.819100
Unit #NL000474B,1095,771,764.215200
Unit #XC000879C,1101,1066,1056.384680
Unit #TX001643O,1103,970,961.076000
Unit #ZR000106J,1107,981,971.003610
Unit #FM000929M,1108,710,702.261000
Unit #NP000118D,1108,1005,994.447500
Unit #IA001476Z,1109,618,611.980680
Unit #CD001065G,1110,952,942.061120
Unit #TE000412M,1110,910,900.954600
Unit #NR001623M,1111,583,577.683040
Unit #BW000132E,1114,460,455.519600
Unit #LV001122V,1114,659,652.515440
Unit #QF001503F,1118,869,860.857470
Unit #DP000332Z,1119,547,541.376840
Unit #PL001456G,1120,656,649.433440
Unit #QT001339W,1121,464,458.984160
Unit #PI001593S,1126,883,873.339980
Unit #AA001003J,1127,668,662.014720
Unit #BE000912S,1127,1069,1059.999020
Unit #FH000374D,1129,482,478.004220
Unit #XV001151O,1129,1092,1082.870880
Unit #OK001105S,1130,965,956.411500
Unit #ZU000451S,1130,969,959.096820
Unit #ES000188J,1132,612,605.629080
Unit #FK000409U,1134,848,839.019680
Unit #GE000930R,1134,946,937.486000
Unit #NX000445R,1136,904,896.704720
Unit #LV000437A,1138,905,897.669500
Unit #XJ000387Y,1138,665,658.303450
Unit #VD000461I,1139,1045,1035.918950
Unit #AB001036S,1141,505,500.157050
Unit #DN000508V,1141,1013,1004.065340
Unit #TM001229F,1141,654,648.159780
Unit #MV000182D,1143,845,837.825950
Unit #HT001241U,1145,1111,1099.067860
Unit #FL000845S,1146,1110,1100.032200
Unit #WT000711Z,1146,563,557.966780
Unit #CG000576J,1149,1119,1109.578020
Unit #HN000465H,1149,980,969.435600
Unit #FX000057Y,1150,502,497.667740
Unit #DA000814B,1151,558,553.418820
Unit #ZE000363O,1160,1084,1074.146440
Unit #BL001043G,1161,633,627.765090
Unit #MF000885J,1163,699,691.352940
Unit #QA000620S,1164,594,587.923380
Unit #DP001451I,1168,837,828.085950
Unit #EV000530P,1169,924,916.423200
