id,max,src,real
Facility complex #WI400023I,10520126,9989061,9583608.423080
Facility complex #HF400018H,10977217,9924198,9616676.617130
Plant #OW300099C,10652315,10648362,10218882.247600
Plant #TF300295S,10948552,10909536,10470652.844200
Plant #DZ300039T,10935440,10926490,10478047.695920
Facility complex #XA400003F,14823268,14706833,14088844.118460
Facility complex #AL400026K,17065700,15552533,14886566.856390
Facility complex #XF400019H,20410841,18775731,17983990.162970
Facility complex #IE400061L,39968118,39968117,38331822.290020
Facility complex #ZB400056Q,65661934,65661933,62530447.006050
